I, [2018-06-21T00:24:14.729240 #73049]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-06-21T00:24:14.758979 #73049] ERROR -- Kitchen: ------Exception-------
E, [2018-06-21T00:24:14.759028 #73049] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-06-21T00:24:14.759046 #73049] ERROR -- Kitchen: Message: Vagrant 1.1.0 or higher is not installed. Please download a package from https://www.vagrantup.com/downloads.html.
E, [2018-06-21T00:24:14.759058 #73049] ERROR -- Kitchen: ----------------------
E, [2018-06-21T00:24:14.759068 #73049] ERROR -- Kitchen: ------Backtrace-------
E, [2018-06-21T00:24:14.759078 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.3.1/lib/kitchen/driver/vagrant.rb:543:in `rescue in vagrant_version'
E, [2018-06-21T00:24:14.759089 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.3.1/lib/kitchen/driver/vagrant.rb:538:in `vagrant_version'
E, [2018-06-21T00:24:14.759099 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-vagrant-1.3.1/lib/kitchen/driver/vagrant.rb:187:in `verify_dependencies'
E, [2018-06-21T00:24:14.759109 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/driver.rb:43:in `for_plugin'
E, [2018-06-21T00:24:14.759119 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:234:in `new_driver'
E, [2018-06-21T00:24:14.759131 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:247:in `new_instance'
E, [2018-06-21T00:24:14.759141 #73049] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:142:in `block in build_instances'
